BH001	BH002	FIPS_STATE	BH003	BH004	BH005	BH006	BH007	BH008	BH009	BH010	BH011	BH012	BH013	BH014	BH015	BH016	BH017	BH018	BH019	BH020	BH021	BH022	BH023	BH024	BH025	BH026	BH027	BH028	BH029	BH030	BH031	BH032	BH033	BH034	BH035	BH036	BH037	BH038	BH039	BH040	BH041	BH042	BH043	BH044	BH045	BH046	BH047	BH048	BH049	BH050	BH051	BH052	BH053	BH054	BH055	BH056	BH057	BH058	BH059	BH060
BH	50	02	AK0010100	     .00	 	 	ANCHORAGE	AK	13	9	4	1	1	 	3030	020A	 	 	285026	0	39	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	20	 	 	 	 	 	1
BH	50	02	AK0010200	     .00	 	01-JAN-2021	FAIRBANKS	AK	40	9	4	1	1	 	3030	020A	1	 	31961	0	258	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	90	 	 	 	 	 	1
BH	50	02	AK0010300	     .00	 	01-OCT-2022	JUNEAU	AK	40	9	4	1	0	 	3030	020A	1	 	31400	0	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	110	 	 	 	 	 	1
BH	50	02	AK0010400	     .00	 	01-JAN-2021	KETCHIKAN	AK	60	9	4	1	0	 	3030	020A	1	 	8017	0	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	130	 	 	 	 	 	1
BH	50	02	AK0010500	     .00	 	01-JAN-2021	KODIAK	AK	60	9	4	1	0	 	3030	020A	1	 	5357	0	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	150	 	 	 	 	 	1
BH	50	02	AK0010600	     .00	 	01-JAN-2021	NOME	AK	60	9	4	1	0	 	3030	020A	1	 	3634	0	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	180	 	 	 	 	 	1
BH	50	02	AK0010700	     .00	 	01-JAN-2021	PETERSBURG	AK	60	9	4	1	0	 	3030	020A	1	 	3335	0	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	195	 	 	 	 	 	1
BH	50	02	AK0010800	     .00	 	01-JAN-2021	SEWARD	AK	60	9	4	1	0	 	3030	020A	1	 	2908	0	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	122	 	 	 	 	 	1
BH	50	02	AK0010900	     .00	 	01-JAN-2021	SITKA	AK	60	9	4	1	0	 	3030	020A	1	 	8353	0	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	220	 	 	 	 	 	1
BH	50	02	AK0011000	     .00	 	01-JAN-2021	SKAGWAY	AK	70	9	4	1	0	 	3030	020A	1	 	1008	0	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	230	 	 	 	 	 	1
BH	50	02	AK0011100	     .00	 	01-JAN-2021	WRANGELL	AK	70	9	4	1	0	 	3030	020A	1	 	2040	0	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	275	 	 	 	 	 	1
