ori9,agency_name,state_name,state_abb,year,population,homicides,cleared,clearance_rate,rtcc_city,rtcc_year_impl,post_rtcc,years_since_rtcc,is_comparison,region,data_level,rtcc_city_name,is_rtcc,pre_trend_slope
CA0190200,arcadia,,CA,2024,53397,0,0,,Fresno,2018.0,1,6.0,0,West,UNKNOWN,Fresno,True,-0.14925373134329956
CA0190200,arcadia,,CA,2023,54071,0,0,,Fresno,2018.0,1,5.0,0,West,UNKNOWN,Fresno,True,-0.14925373134329956
CA0190200,arcadia,,CA,2022,54202,0,0,,Fresno,2018.0,1,4.0,0,West,UNKNOWN,Fresno,True,-0.14925373134329956
CA0190200,arcadia,,CA,2021,56331,2,2,1.0,Fresno,2018.0,1,3.0,0,West,UNKNOWN,Fresno,True,-0.14925373134329956
CA0190200,arcadia,,CA,2020,58122,2,1,0.5,Fresno,2018.0,1,2.0,0,West,UNKNOWN,Fresno,True,-0.14925373134329956
CA0190200,arcadia,,CA,2019,58899,1,1,1.0,Fresno,2018.0,1,1.0,0,West,UNKNOWN,Fresno,True,-0.14925373134329956
CA0190200,arcadia,,CA,2018,59151,1,0,0.0,Fresno,2018.0,1,0.0,0,West,UNKNOWN,Fresno,True,-0.14925373134329956
CA0190200,arcadia,,CA,2017,58883,0,0,,Fresno,2018.0,0,-1.0,0,West,UNKNOWN,Fresno,True,-0.14925373134329956
CA0190200,arcadia,,CA,2016,58816,2,2,1.0,Fresno,2018.0,0,-2.0,0,West,UNKNOWN,Fresno,True,-0.14925373134329956
CA0190200,arcadia,,CA,2015,58694,1,0,0.0,Fresno,2018.0,0,-3.0,0,West,UNKNOWN,Fresno,True,-0.14925373134329956
CA0190200,arcadia,,CA,2014,57950,2,2,1.0,Fresno,2018.0,0,-4.0,0,West,UNKNOWN,Fresno,True,-0.14925373134329956
CA0190200,arcadia,,CA,2013,57855,0,0,,Fresno,2018.0,0,-5.0,0,West,UNKNOWN,Fresno,True,-0.14925373134329956
CA0190200,arcadia,,CA,2012,57295,0,0,,Fresno,2018.0,0,-6.0,0,West,UNKNOWN,Fresno,True,-0.14925373134329956
CA0190200,arcadia,,CA,2011,57027,1,2,2.0,Fresno,2018.0,0,-7.0,0,West,UNKNOWN,Fresno,True,-0.14925373134329956
CA0190200,arcadia,,CA,2010,56364,1,1,1.0,Fresno,2018.0,0,-8.0,0,West,UNKNOWN,Fresno,True,-0.14925373134329956
CT0006400,hartford,,CT,2024,119626,22,11,0.5,Hartford,,1,8.0,0,Northeast,city,,False,
CT0006400,hartford,,CT,2023,120710,36,10,0.2777777777777778,Hartford,,1,7.0,0,Northeast,city,,False,
CT0006400,hartford,,CT,2022,120196,40,15,0.375,Hartford,,1,6.0,0,Northeast,city,,False,
CT0006400,hartford,,CT,2021,121160,41,19,0.4634146341463415,Hartford,,1,5.0,0,Northeast,city,,False,
CT0006400,hartford,,CT,2020,121749,24,15,0.625,Hartford,,1,4.0,0,Northeast,city,,False,
CT0006400,hartford,,CT,2019,122245,22,12,0.5454545454545454,Hartford,,1,3.0,0,Northeast,city,,False,
CT0006400,hartford,,CT,2018,123117,21,13,0.6190476190476191,Hartford,,1,2.0,0,Northeast,city,,False,
CT0006400,hartford,,CT,2017,122891,30,13,0.4333333333333333,Hartford,,1,1.0,0,Northeast,city,,False,
CT0006400,hartford,,CT,2016,123736,14,11,0.7857142857142857,Hartford,,1,0.0,0,Northeast,city,,False,
