ori9,agency_name,state_name,state_abb,year,population,homicides,cleared,clearance_rate,rtcc_city,rtcc_year_impl,post_rtcc,years_since_rtcc,is_comparison
CA0190200,arcadia,,CA,2024,53397,0,0,,Fresno,2018,1,6.0,0
CA0190200,arcadia,,CA,2023,54071,0,0,,Fresno,2018,1,5.0,0
CA0190200,arcadia,,CA,2022,54202,0,0,,Fresno,2018,1,4.0,0
CA0190200,arcadia,,CA,2021,56331,2,2,1.0,Fresno,2018,1,3.0,0
CA0190200,arcadia,,CA,2020,58122,2,1,0.5,Fresno,2018,1,2.0,0
CA0190200,arcadia,,CA,2019,58899,1,1,1.0,Fresno,2018,1,1.0,0
CA0190200,arcadia,,CA,2018,59151,1,0,0.0,Fresno,2018,1,0.0,0
CA0190200,arcadia,,CA,2017,58883,0,0,,Fresno,2018,0,-1.0,0
CA0190200,arcadia,,CA,2016,58816,2,2,1.0,Fresno,2018,0,-2.0,0
CA0190200,arcadia,,CA,2015,58694,1,0,0.0,Fresno,2018,0,-3.0,0
CA0190200,arcadia,,CA,2014,57950,2,2,1.0,Fresno,2018,0,-4.0,0
CA0190200,arcadia,,CA,2013,57855,0,0,,Fresno,2018,0,-5.0,0
CA0190200,arcadia,,CA,2012,57295,0,0,,Fresno,2018,0,-6.0,0
CA0190200,arcadia,,CA,2011,57027,1,2,2.0,Fresno,2018,0,-7.0,0
CA0190200,arcadia,,CA,2010,56364,1,1,1.0,Fresno,2018,0,-8.0,0
CA0190200,arcadia,,CA,2009,56596,0,0,,Fresno,2018,0,-9.0,0
CA0190200,arcadia,,CA,2008,56605,2,3,1.5,Fresno,2018,0,-10.0,0
CA0190200,arcadia,,CA,2007,56967,2,1,0.5,Fresno,2018,0,-11.0,0
CA0190200,arcadia,,CA,2006,56659,1,1,1.0,Fresno,2018,0,-12.0,0
CA0190200,arcadia,,CA,2005,56364,2,1,0.5,Fresno,2018,0,-13.0,0
CA0190200,arcadia,,CA,2004,56083,4,2,0.5,Fresno,2018,0,-14.0,0
CA0190200,arcadia,,CA,2003,55480,2,2,1.0,Fresno,2018,0,-15.0,0
CA0190200,arcadia,,CA,2002,55004,2,0,0.0,Fresno,2018,0,-16.0,0
CA0190200,arcadia,,CA,2001,54040,2,1,0.5,Fresno,2018,0,-17.0,0
CA0190200,arcadia,,CA,2000,53054,0,0,,Fresno,2018,0,-18.0,0
CA0190200,arcadia,,CA,1999,50892,0,0,,Fresno,2018,0,-19.0,0
CA0190200,arcadia,,CA,1998,51454,0,0,,Fresno,2018,0,-20.0,0
CA0190200,arcadia,,CA,1997,52001,1,1,1.0,Fresno,2018,0,-21.0,0
CA0190200,arcadia,,CA,1996,51373,0,0,,Fresno,2018,0,-22.0,0
CA0190200,arcadia,,CA,1995,50908,1,1,1.0,Fresno,2018,0,-23.0,0
CA0190200,arcadia,,CA,1994,49988,1,0,0.0,Fresno,2018,0,-24.0,0
CA0190200,arcadia,,CA,1993,49639,2,1,0.5,Fresno,2018,0,-25.0,0
CA0190200,arcadia,,CA,1992,50085,2,0,0.0,Fresno,2018,0,-26.0,0
CA0190200,arcadia,,CA,1991,49295,1,1,1.0,Fresno,2018,0,-27.0,0
CA0190200,arcadia,,CA,1990,48290,1,1,1.0,Fresno,2018,0,-28.0,0
CA0190200,arcadia,,CA,1989,49301,0,0,,Fresno,2018,0,-29.0,0
CA0190200,arcadia,,CA,1988,49835,0,0,,Fresno,2018,0,-30.0,0
CA0190200,arcadia,,CA,1987,48947,0,0,,Fresno,2018,0,-31.0,0
CA0190200,arcadia,,CA,1986,49313,1,1,1.0,Fresno,2018,0,-32.0,0
CA0190200,arcadia,,CA,1985,49347,3,2,0.6666666666666666,Fresno,2018,0,-33.0,0
CA0190200,arcadia,,CA,1984,47957,1,1,1.0,Fresno,2018,0,-34.0,0
CA0190200,arcadia,,CA,1983,49159,1,1,1.0,Fresno,2018,0,-35.0,0
CA0190200,arcadia,,CA,1982,48281,2,2,1.0,Fresno,2018,0,-36.0,0
CA0190200,arcadia,,CA,1981,47178,2,1,0.5,Fresno,2018,0,-37.0,0
CA0190200,arcadia,,CA,1980,45955,2,1,0.5,Fresno,2018,0,-38.0,0
CA0190200,arcadia,,CA,1979,48535,0,0,,Fresno,2018,0,-39.0,0
