ori,ori9,agency_name,state,state_abb,year,number_of_months_missing,number_of_months_reported,last_month_reported,fips_state_code,fips_county_code,fips_state_county_code,fips_place_code,agency_type,crosswalk_agency_name,census_name,longitude,latitude,address_name,address_street_line_1,address_street_line_2,address_city,address_state,address_zip_code,population_group,covered_by_population_group,population_1,population_1_county,population_1_msa,population_2,population_2_county,population_2_msa,population_3,population_3_county,population_3_msa,last_population_1,last_population_2,last_population_3,population_source,population_group_in_previous_year,population,country_division,juvenile_age,core_city_indication,last_update,fbi_field_office,followup_indication,zip_code,date_of_last_update,month_included_in,covered_by_ori,agency_count,special_mailing_group,special_mailing_address,first_line_of_mailing_address,second_line_of_mailing_address,third_line_of_mailing_address,fourth_line_of_mailing_address,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total,homicides,cleared,clearance_rate,rtcc_city,rtcc_year_impl,post_rtcc,years_since_rtcc,is_comparison,state_name
CA01902,CA0190200,arcadia,california,CA,2024,,12,december,6.0,37.0,6037.0,2462.0,local police department,arcadia police department,arcadia city,-118.261862,34.196398,arcadia police department,250 w. huntington drive,,arcadia,ca,91007.0,"city 50,000 thru 99,999",,53397,19.0,480.0,0,,,0,,,0,0,0,,3.0,53397,pacific,,core city of msa,0.0,3410,,91007.0,21125.0,0.0,,1,,,arcadia police department,,,250 w huntington dr,0,0,0,0,0,11,11,0,54,12,5,3,34,220,4,18,27,9,162,333,242,52,39,1041,132,83,11,38,1791,0,58.0,123.0,1506,1629.0,0,0,2,2,0,22,3,3,3,13,94,1,13,15,4,61,29,16,8,5,160,4,1,1,2,311,0,33.0,57.0,193,250.0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,10,0,0.0,2.0,7,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fresno,2018,1,6,0,
CA01902,CA0190200,arcadia,california,CA,2023,,12,december,6.0,37.0,6037.0,2462.0,local police department,arcadia police department,arcadia city,-118.261862,34.196398,arcadia police department,250 w. huntington drive,,arcadia,ca,91007.0,"city 50,000 thru 99,999",,54071,19.0,480.0,0,,,0,,,0,0,0,,3.0,54071,pacific,,core city of msa,0.0,3410,,91007.0,13124.0,0.0,,1,,,arcadia police department,,,250 w huntington dr,0,0,0,0,0,4,4,0,61,9,11,8,33,245,10,11,53,13,158,376,268,65,43,1161,110,99,6,5,1957,0,87.0,152.0,1647,1799.0,0,0,2,2,0,15,0,2,2,11,98,1,6,17,9,65,23,11,9,3,164,9,8,1,0,311,0,33.0,50.0,196,246.0,0,0,0,0,0,2,0,0,0,2,6,0,0,0,3,3,0,0,0,0,34,1,1,0,0,43,0,3.0,5.0,35,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fresno,2018,1,5,0,
CA01902,CA0190200,arcadia,california,CA,2022,,12,december,6.0,37.0,6037.0,2462.0,local police department,arcadia police department,arcadia city,-118.261862,34.196398,arcadia police department,250 w. huntington drive,,arcadia,ca,91007.0,"city 50,000 thru 99,999",,54202,19.0,480.0,0,,,0,,,0,0,0,,3.0,54202,pacific,,core city of msa,0.0,3410,,91007.0,40423.0,0.0,,1,,,arcadia police department,,,250 w huntington dr,0,0,0,0,0,17,16,1,47,16,2,4,25,265,24,3,34,16,188,390,306,48,36,1147,116,102,4,10,1982,0,77.0,141.0,1653,1794.0,0,0,2,2,0,6,0,0,0,6,104,7,1,12,9,75,33,19,10,4,83,5,4,0,1,233,0,29.0,37.0,121,158.0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,1,3,2,1,0,1,18,1,0,0,1,26,0,1.0,2.0,21,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fresno,2018,1,4,0,
CA01902,CA0190200,arcadia,california,CA,2021,,12,december,6.0,37.0,6037.0,2462.0,local police department,arcadia police department,arcadia city,-118.261862,34.196398,arcadia police department,250 w. huntington drive,,arcadia,ca,91007.0,"city 50,000 thru 99,999",,56331,19.0,480.0,0,,,0,,,0,0,0,,3.0,56331,pacific,,core city of msa,0.0,3410,,91007.0,13123.0,0.0,,1,,,arcadia police department,,,250 w huntington dr,0,0,0,1,1,11,11,0,41,7,3,9,22,229,3,21,26,17,162,338,257,50,31,1017,96,81,13,2,1734,0,67.0,121.0,1451,1572.0,1,1,3,3,0,11,3,2,1,5,81,1,15,8,7,50,19,15,4,0,91,4,4,0,0,211,0,31.0,47.0,114,161.0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,3,0,0,0,0,6,0,2.0,2.0,3,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.0,Fresno,2018,1,3,0,
CA01902,CA0190200,arcadia,california,CA,2020,,12,december,6.0,37.0,6037.0,2462.0,local police department,arcadia police department,arcadia city,-118.261862,34.196398,arcadia police department,250 w. huntington drive,,arcadia,ca,91007.0,"city 50,000 thru 99,999",,58122,19.0,480.0,0,,,0,,,0,0,0,,3.0,58122,pacific,,core city of msa,0.0,3410,,91007.0,31621.0,0.0,,1,,,arcadia police department,,,250 w huntington dr,0,0,6,2,0,6,5,1,20,4,3,1,12,204,11,15,27,6,145,265,189,44,32,696,73,47,22,4,1266,0,59.0,87.0,1034,1121.0,1,0,1,0,1,6,1,2,0,3,86,0,7,11,8,60,19,14,4,1,74,15,13,0,2,202,0,26.0,34.0,108,142.0,0,0,1,0,1,0,0,0,0,0,4,0,0,1,2,1,0,0,0,0,4,1,0,0,1,10,0,3.0,4.0,5,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,0,0,0,2,2,2,1,0.5,Fresno,2018,1,2,0,
CA01902,CA0190200,arcadia,california,CA,2019,,12,december,6.0,37.0,6037.0,2462.0,local police department,arcadia police department,arcadia city,-118.261862,34.196398,arcadia police department,250 w. huntington drive,,arcadia,ca,91007.0,"city 50,000 thru 99,999",,58899,19.0,480.0,0,,,0,,,0,0,0,0.0,,58899,pacific,,core city of msa,200430.0,3410,do not send a follow-up,91066.0,200604.0,0.0,,1,"the agency is a contributor but not on the mailing list,they are not sent forms.",not a special mailing address,po box 60021,,,,0,0,5,1,0,10,10,0,35,8,2,3,22,156,5,6,21,6,118,301,234,42,25,973,74,61,7,6,1550,0,38.0,84.0,1348,1432.0,1,0,3,2,1,9,1,0,1,7,92,2,3,10,18,59,42,32,7,3,171,11,7,0,4,329,0,33.0,46.0,224,270.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,3,0,1,15,0,0,0,0,20,0,0.0,1.0,19,20.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,2,0,0,0,0,6,0,0,1,4,5,1,1,1.0,Fresno,2018,1,1,0,
CA01902,CA0190200,arcadia,california,CA,2018,,12,december,6.0,37.0,6037.0,2462.0,local police department,arcadia police department,arcadia city,-118.261862,34.196398,arcadia police department,250 w. huntington drive,,arcadia,ca,91007.0,"city 50,000 thru 99,999",,59151,19.0,480.0,0,,,0,,,0,0,0,0.0,,59151,pacific,,core city of msa,200101.0,3410,do not send a follow-up,91066.0,190513.0,0.0,,1,"the agency is a contributor but not on the mailing list,they are not sent forms.",not a special mailing address,po box 60021,,,,0,0,7,1,0,8,8,0,41,21,3,3,14,158,1,7,12,6,132,372,297,38,37,969,79,61,12,6,1628,0,26.0,76.0,1420,1496.0,0,0,3,2,1,8,1,0,1,6,74,0,3,5,11,55,29,18,8,3,166,5,4,1,0,285,0,19.0,30.0,200,230.0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,3,1,1,1,9,0,0,0,0,15,0,0.0,2.0,12,14.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,4,2,2,0,0,8,0,0,0,7,7,1,0,0.0,Fresno,2018,1,0,0,
CA01902,CA0190200,arcadia,california,CA,2017,,12,december,6.0,37.0,6037.0,2462.0,local police department,arcadia police department,arcadia city,-118.261862,34.196398,arcadia police department,250 w. huntington drive,,arcadia,ca,91007.0,"city 50,000 thru 99,999",,58883,19.0,480.0,0,,,0,,,0,0,0,,3.0,58883,pacific,,core city of msa,0.0,3410,,91007.0,81718.0,0.0,,1,,,arcadia police department,,,250 w huntington dr,0,0,4,0,0,7,7,0,56,24,0,5,27,164,4,10,23,10,117,485,394,60,31,957,92,79,5,8,1761,0,47.0,110.0,1534,1644.0,0,0,3,2,1,14,2,0,1,11,82,4,4,10,6,58,27,18,4,5,204,10,8,1,1,340,0,24.0,41.0,241,282.0,0,0,0,0,0,4,1,0,0,3,4,0,0,1,0,3,2,2,0,0,23,0,0,0,0,33,0,1.0,5.0,25,30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,4,0,0,1,3,4,0,0,,Fresno,2018,0,-1,0,
CA01902,CA0190200,arcadia,california,CA,2016,0.0,12,december,6.0,37.0,6037.0,2462.0,local police department,arcadia police department,arcadia city,-118.261862,34.196398,arcadia police department,250 w. huntington drive,,arcadia,ca,91007.0,"city 50,000 thru 99,999",,58816,19.0,480.0,0,,,0,,,58694,0,0,2.0,4.0,58816,pacific,21.0,core city of msa,40494.0,3410,send a follow-up,91007.0,82516.0,0.0,,1,"the agency is a contributor but not on the mailing list,they are not sent forms.",not a special mailing address,chief of police,arcadia police department,250 w huntington dr,"arcadia, ca",0,0,10,2,0,4,4,0,44,11,3,7,23,147,1,12,10,10,114,520,378,88,54,1045,77,63,8,6,1839,0,33.0,83.0,1642,1725.0,2,0,2,2,0,15,3,1,3,8,73,0,9,3,8,53,26,15,9,2,231,6,6,0,0,355,0,20.0,39.0,263,302.0,0,0,1,1,0,3,2,0,1,0,3,0,2,0,0,1,2,0,2,0,20,0,0,0,0,29,0,2.0,6.0,22,28.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,6,0,0,7,0,0,0,6,6,2,2,1.0,Fresno,2018,0,-2,0,
CA01902,CA0190200,arcadia,california,CA,2015,0.0,12,december,6.0,37.0,6037.0,2462.0,local police department,arcadia police department,arcadia city,-118.261862,34.196398,arcadia police department,250 w. huntington drive,,arcadia,ca,91007.0,"city 50,000 thru 99,999",,58694,19.0,480.0,0,,,0,,,57950,0,0,2.0,4.0,58694,pacific,21.0,core city of msa,40494.0,3410,send a follow-up,91007.0,31516.0,0.0,,1,"the agency is a contributor but not on the mailing list,they are not sent forms.",not a special mailing address,chief of police,arcadia police department,250 w huntington dr,"arcadia, ca",0,0,8,1,0,6,6,0,31,13,2,4,12,163,3,4,20,3,133,316,230,57,29,892,64,56,6,2,1473,0,30.0,68.0,1272,1340.0,0,0,2,2,0,7,3,1,1,2,90,0,4,10,2,74,18,7,6,5,151,3,3,0,0,271,0,16.0,25.0,172,197.0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,14,0,0,0,0,21,0,0.0,1.0,14,15.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,1,6,0,0,2,4,6,1,0,0.0,Fresno,2018,0,-3,0,
