city,state,year,homicide_count,cleared_by_arrest,closed_without_arrest,open_no_arrest,clearance_rate,rtcc_year,post_rtcc,years_since_rtcc
Hartford,CT,2010,0,0,0,0,,2016,0,0
Hartford,CT,2011,0,0,0,0,,2016,0,0
Hartford,CT,2012,0,0,0,0,,2016,0,0
Hartford,CT,2013,0,0,0,0,,2016,0,0
Hartford,CT,2014,0,0,0,0,,2016,0,0
Hartford,CT,2015,0,0,0,0,,2016,0,0
Hartford,CT,2016,0,0,0,0,,2016,1,0
Hartford,CT,2017,0,0,0,0,,2016,1,1
Hartford,CT,2018,0,0,0,0,,2016,1,2
Hartford,CT,2019,0,0,0,0,,2016,1,3
Hartford,CT,2020,0,0,0,0,,2016,1,4
Hartford,CT,2021,0,0,0,0,,2016,1,5
Hartford,CT,2022,0,0,0,0,,2016,1,6
Hartford,CT,2023,0,0,0,0,,2016,1,7
Miami,FL,2010,69,35,5,29,0.5072463768115942,2016,0,0
Miami,FL,2011,71,29,7,35,0.4084507042253521,2016,0,0
Miami,FL,2012,54,22,1,31,0.4074074074074074,2016,0,0
Miami,FL,2013,69,26,9,34,0.37681159420289856,2016,0,0
Miami,FL,2014,82,27,7,48,0.32926829268292684,2016,0,0
Miami,FL,2015,75,33,4,38,0.44,2016,0,0
Miami,FL,2016,59,14,5,40,0.23728813559322035,2016,1,0
Miami,FL,2017,60,12,6,42,0.2,2016,1,1
Miami,FL,2018,0,0,0,0,,2016,1,2
Miami,FL,2019,0,0,0,0,,2016,1,3
Miami,FL,2020,0,0,0,0,,2016,1,4
Miami,FL,2021,0,0,0,0,,2016,1,5
Miami,FL,2022,0,0,0,0,,2016,1,6
Miami,FL,2023,0,0,0,0,,2016,1,7
St. Louis,MO,2010,142,81,2,59,0.5704225352112676,2015,0,0
St. Louis,MO,2011,113,68,4,41,0.6017699115044248,2015,0,0
St. Louis,MO,2012,112,62,2,48,0.5535714285714286,2015,0,0
St. Louis,MO,2013,121,62,8,51,0.512396694214876,2015,0,0
St. Louis,MO,2014,160,65,1,94,0.40625,2015,0,0
St. Louis,MO,2015,186,65,3,118,0.34946236559139787,2015,1,0
St. Louis,MO,2016,188,68,6,114,0.3617021276595745,2015,1,1
St. Louis,MO,2017,202,64,5,133,0.31683168316831684,2015,1,2
St. Louis,MO,2018,0,0,0,0,,2015,1,3
St. Louis,MO,2019,0,0,0,0,,2015,1,4
St. Louis,MO,2020,0,0,0,0,,2015,1,5
St. Louis,MO,2021,0,0,0,0,,2015,1,6
St. Louis,MO,2022,0,0,0,0,,2015,1,7
St. Louis,MO,2023,0,0,0,0,,2015,1,8
Newark,NJ,2010,0,0,0,0,,2018,0,0
Newark,NJ,2011,0,0,0,0,,2018,0,0
Newark,NJ,2012,0,0,0,0,,2018,0,0
Newark,NJ,2013,0,0,0,0,,2018,0,0
Newark,NJ,2014,0,0,0,0,,2018,0,0
Newark,NJ,2015,0,0,0,0,,2018,0,0
Newark,NJ,2016,0,0,0,0,,2018,0,0
Newark,NJ,2017,0,0,0,0,,2018,0,0
Newark,NJ,2018,0,0,0,0,,2018,1,0
Newark,NJ,2019,0,0,0,0,,2018,1,1
Newark,NJ,2020,0,0,0,0,,2018,1,2
Newark,NJ,2021,0,0,0,0,,2018,1,3
Newark,NJ,2022,0,0,0,0,,2018,1,4
Newark,NJ,2023,0,0,0,0,,2018,1,5
New Orleans,LA,2010,186,83,20,83,0.44623655913978494,2017,0,0
New Orleans,LA,2011,211,79,18,114,0.3744075829383886,2017,0,0
New Orleans,LA,2012,206,82,18,106,0.39805825242718446,2017,0,0
New Orleans,LA,2013,157,62,5,90,0.39490445859872614,2017,0,0
New Orleans,LA,2014,163,48,17,98,0.294478527607362,2017,0,0
New Orleans,LA,2015,168,53,12,103,0.31547619047619047,2017,0,0
New Orleans,LA,2016,176,47,3,126,0.26704545454545453,2017,0,0
New Orleans,LA,2017,163,48,4,111,0.294478527607362,2017,1,0
New Orleans,LA,2018,0,0,0,0,,2017,1,1
New Orleans,LA,2019,0,0,0,0,,2017,1,2
New Orleans,LA,2020,0,0,0,0,,2017,1,3
New Orleans,LA,2021,0,0,0,0,,2017,1,4
New Orleans,LA,2022,0,0,0,0,,2017,1,5
New Orleans,LA,2023,0,0,0,0,,2017,1,6
Albuquerque,NM,2010,45,30,10,5,0.6666666666666666,2020,0,0
Albuquerque,NM,2011,38,28,2,8,0.7368421052631579,2020,0,0
