model,feature,importance
random_forest,population,0.511517547866902
random_forest,homicides,0.2921272610034299
random_forest,region_Midwest,0.0573238498170606
random_forest,region_South,0.05012871266823291
random_forest,years_since_rtcc,0.0439441885429876
random_forest,region_West,0.018505813388209866
random_forest,region_Northeast,0.015402095873023179
random_forest,is_rtcc,0.008483393312317249
random_forest,treated,0.0025671375278367927
xgboost,region_Midwest,0.35000231862068176
xgboost,region_Northeast,0.15233494341373444
xgboost,region_South,0.12956732511520386
xgboost,population,0.10220267623662949
xgboost,homicides,0.08754940330982208
xgboost,region_West,0.08031579107046127
xgboost,years_since_rtcc,0.05399467051029205
xgboost,is_rtcc,0.04403283819556236
xgboost,treated,0.0
