city,year,homicides,cleared,clearance_rate,rtcc_year,post_rtcc
Albuquerque,2010,45,30,0.6666666666666666,2013,0
Albuquerque,2011,38,28,0.7368421052631579,2013,0
Albuquerque,2012,46,32,0.6956521739130435,2013,0
Albuquerque,2013,33,17,0.5151515151515151,2013,1
Albuquerque,2014,28,20,0.7142857142857143,2013,1
Albuquerque,2015,50,29,0.58,2013,1
Albuquerque,2016,63,38,0.6031746031746031,2013,1
Albuquerque,2017,75,38,0.5066666666666667,2013,1
Chicago,2007,445,169,0.3797752808988764,2017,0
Chicago,2008,510,190,0.37254901960784315,2017,0
Chicago,2009,457,155,0.33916849015317285,2017,0
Chicago,2010,434,135,0.31105990783410137,2017,0
Chicago,2011,437,133,0.30434782608695654,2017,0
Chicago,2012,505,136,0.2693069306930693,2017,0
Chicago,2013,423,133,0.3144208037825059,2017,0
Chicago,2014,418,125,0.29904306220095694,2017,0
Chicago,2015,487,120,0.2464065708418891,2017,0
Chicago,2016,765,110,0.1437908496732026,2017,0
Chicago,2017,654,56,0.0856269113149847,2017,1
Fresno,2007,52,30,0.5769230769230769,2015,0
Fresno,2008,40,26,0.65,2015,0
Fresno,2009,42,22,0.5238095238095238,2015,0
Fresno,2010,45,30,0.6666666666666666,2015,0
Fresno,2011,35,28,0.8,2015,0
Fresno,2012,51,36,0.7058823529411765,2015,0
Fresno,2013,39,34,0.8717948717948718,2015,0
Fresno,2014,49,39,0.7959183673469388,2015,0
Fresno,2015,39,28,0.717948717948718,2015,1
Fresno,2016,39,21,0.5384615384615384,2015,1
Fresno,2017,56,24,0.42857142857142855,2015,1
Miami,2007,79,41,0.5189873417721519,2016,0
Miami,2008,64,33,0.515625,2016,0
Miami,2009,60,21,0.35,2016,0
Miami,2010,69,35,0.5072463768115942,2016,0
Miami,2011,71,29,0.4084507042253521,2016,0
Miami,2012,54,22,0.4074074074074074,2016,0
Miami,2013,69,26,0.37681159420289856,2016,0
Miami,2014,82,27,0.32926829268292684,2016,0
Miami,2015,77,34,0.44155844155844154,2016,0
Miami,2016,59,14,0.23728813559322035,2016,1
Miami,2017,60,12,0.2,2016,1
New Orleans,2008,2,1,0.5,2017,0
New Orleans,2009,2,1,0.5,2017,0
New Orleans,2010,186,83,0.44623655913978494,2017,0
New Orleans,2011,211,79,0.3744075829383886,2017,0
New Orleans,2012,206,82,0.39805825242718446,2017,0
New Orleans,2013,157,62,0.39490445859872614,2017,0
New Orleans,2014,163,48,0.294478527607362,2017,0
New Orleans,2015,168,53,0.31547619047619047,2017,0
New Orleans,2016,176,47,0.26704545454545453,2017,0
New Orleans,2017,163,48,0.294478527607362,2017,1
St. Louis,2007,140,67,0.4785714285714286,2015,0
St. Louis,2008,167,87,0.5209580838323353,2015,0
St. Louis,2009,146,83,0.5684931506849316,2015,0
St. Louis,2010,142,81,0.5704225352112676,2015,0
St. Louis,2011,113,68,0.6017699115044248,2015,0
St. Louis,2012,112,62,0.5535714285714286,2015,0
St. Louis,2013,121,62,0.512396694214876,2015,0
St. Louis,2014,160,65,0.40625,2015,0
St. Louis,2015,186,65,0.34946236559139787,2015,1
St. Louis,2016,188,68,0.3617021276595745,2015,1
St. Louis,2017,202,64,0.31683168316831684,2015,1
