ori,year,homicides,city
ILCPD0000,2007,443.0,Chicago
ILCPD0000,2008,510.0,Chicago
ILCPD0000,2009,458.0,Chicago
ILCPD0000,2010,432.0,Chicago
ILCPD0000,2011,431.0,Chicago
ILCPD0000,2012,500.0,Chicago
ILCPD0000,2013,414.0,Chicago
ILCPD0000,2014,415.0,Chicago
ILCPD0000,2015,478.0,Chicago
ILCPD0000,2016,765.0,Chicago
ILCPD0000,2017,519.0,Chicago
ILCPD0000,2018,566.0,Chicago
ILCPD0000,2019,491.0,Chicago
ILCPD0000,2020,718.0,Chicago
ILCPD0000,2021,370.0,Chicago
ILCPD0000,2022,604.0,Chicago
ILCPD0000,2023,499.0,Chicago
ILCPD0000,2024,461.0,Chicago
ILCPD0000,2025,338.0,Chicago
MOSPD0000,2007,138.0,St. Louis
MOSPD0000,2008,167.0,St. Louis
MOSPD0000,2009,144.0,St. Louis
MOSPD0000,2010,144.0,St. Louis
MOSPD0000,2011,112.0,St. Louis
MOSPD0000,2012,114.0,St. Louis
MOSPD0000,2013,120.0,St. Louis
MOSPD0000,2014,159.0,St. Louis
MOSPD0000,2015,186.0,St. Louis
MOSPD0000,2016,188.0,St. Louis
MOSPD0000,2017,202.0,St. Louis
MOSPD0000,2018,175.0,St. Louis
MOSPD0000,2019,194.0,St. Louis
MOSPD0000,2020,150.0,St. Louis
MOSPD0000,2021,203.0,St. Louis
MOSPD0000,2022,201.0,St. Louis
MOSPD0000,2023,160.0,St. Louis
MOSPD0000,2024,151.0,St. Louis
MOSPD0000,2025,141.0,St. Louis
FL0130600,2007,0.0,Miami
FL0130600,2008,0.0,Miami
FL0130600,2009,0.0,Miami
FL0130600,2010,0.0,Miami
FL0130600,2011,0.0,Miami
FL0130600,2012,0.0,Miami
FL0130600,2013,0.0,Miami
FL0130600,2014,0.0,Miami
FL0130600,2015,0.0,Miami
FL0130600,2016,0.0,Miami
FL0130600,2017,0.0,Miami
FL0130600,2018,0.0,Miami
FL0130600,2019,0.0,Miami
FL0130600,2020,0.0,Miami
FL0130600,2021,0.0,Miami
