year,fbi_shr,nopd_homicides,source_nopd,notes
2007,209,,,FBI SHR only
2008,94,,,FBI SHR only
2009,162,,,FBI SHR only
2010,174,,,FBI SHR only
2011,199,,,FBI SHR only
2012,193,,,FBI SHR only
2013,135,,,FBI SHR only
2014,141,,,FBI SHR only
2015,164,,,FBI SHR only
2016,174,,,FBI SHR only
2017,157,,,FBI SHR only
2018,147,,,FBI SHR only
2019,121,,,FBI SHR only
2020,193,,,FBI SHR only
2021,0,219.0,NOPD local (external research - VERIFY),NIBRS transition - FBI SHR gap
2022,0,266.0,NOPD local (external research - VERIFY),NIBRS transition - FBI SHR gap
2023,0,192.0,NOPD local (external research - VERIFY),NIBRS transition - FBI SHR gap
2024,0,124.0,NOPD local (external research - VERIFY),NIBRS transition - FBI SHR gap
2025,0,,,
