city,ori,year,male_officers,female_officers,total_sworn,male_civilians,female_civilians,total_civilians,le_rate_per_1k,officers_per_homicide,homicides
Chicago,ILCPD0000,2007,10420.0,3251.0,13671.0,397.0,668.0,1065.0,5.22,30.86004514672686,443.0
Chicago,ILCPD0000,2008,10157.0,3202.0,13359.0,351.0,597.0,948.0,5.06,26.194117647058825,510.0
Chicago,ILCPD0000,2009,9947.0,3141.0,13088.0,323.0,549.0,872.0,4.9,28.5764192139738,458.0
Chicago,ILCPD0000,2010,9517.0,2998.0,12515.0,295.0,508.0,803.0,4.94,28.96990740740741,432.0
Chicago,ILCPD0000,2011,9206.0,2886.0,12092.0,256.0,451.0,707.0,4.73,28.05568445475638,431.0
Chicago,ILCPD0000,2012,9166.0,2778.0,11944.0,349.0,473.0,822.0,4.71,23.888,500.0
Chicago,ILCPD0000,2013,,,,,,,,,414.0
Chicago,ILCPD0000,2014,9326.0,2708.0,12034.0,375.0,493.0,868.0,4.74,28.997590361445784,415.0
Chicago,ILCPD0000,2015,,,,,,,,,478.0
Chicago,ILCPD0000,2016,9309.0,2645.0,11954.0,446.0,735.0,1181.0,4.82,15.626143790849673,765.0
Chicago,ILCPD0000,2017,9615.0,2768.0,12383.0,449.0,734.0,1183.0,5.01,23.859344894026975,519.0
Chicago,ILCPD0000,2018,10154.0,2984.0,13138.0,344.0,604.0,948.0,5.18,23.21201413427562,566.0
Chicago,ILCPD0000,2019,10122.0,3038.0,13160.0,324.0,531.0,855.0,5.18,26.80244399185336,491.0
Chicago,ILCPD0000,2020,9770.0,2957.0,12727.0,313.0,522.0,835.0,5.03,17.725626740947074,718.0
Chicago,ILCPD0000,2021,9233.0,2837.0,12070.0,302.0,493.0,795.0,4.73,32.62162162162162,370.0
Chicago,ILCPD0000,2022,8848.0,2830.0,11678.0,247.0,338.0,585.0,4.62,19.334437086092716,604.0
Chicago,ILCPD0000,2023,8889.0,2904.0,11793.0,274.0,363.0,637.0,4.73,23.63326653306613,499.0
Chicago,ILCPD0000,2024,8781.0,2886.0,11667.0,307.0,396.0,703.0,4.69,25.308026030368765,461.0
Chicago,ILCPD0000,2025,,,,,,,,,338.0
St. Louis,MOSPD0000,2007,1142.0,208.0,1350.0,272.0,345.0,617.0,5.65,9.782608695652174,138.0
St. Louis,MOSPD0000,2008,1193.0,212.0,1405.0,252.0,340.0,592.0,5.61,8.41317365269461,167.0
St. Louis,MOSPD0000,2009,1188.0,220.0,1408.0,190.0,325.0,515.0,5.41,9.77777777777778,144.0
St. Louis,MOSPD0000,2010,1148.0,215.0,1363.0,231.0,326.0,557.0,6.01,9.46527777777778,144.0
St. Louis,MOSPD0000,2011,1145.0,218.0,1363.0,230.0,327.0,557.0,5.99,12.169642857142858,112.0
St. Louis,MOSPD0000,2012,1112.0,210.0,1322.0,219.0,325.0,544.0,5.86,11.596491228070176,114.0
St. Louis,MOSPD0000,2013,1085.0,202.0,1287.0,230.0,325.0,555.0,5.78,10.725,120.0
St. Louis,MOSPD0000,2014,1163.0,221.0,1384.0,224.0,338.0,562.0,6.11,8.70440251572327,159.0
St. Louis,MOSPD0000,2015,1029.0,201.0,1230.0,215.0,312.0,527.0,5.54,6.612903225806452,186.0
St. Louis,MOSPD0000,2016,1000.0,194.0,1194.0,155.0,283.0,438.0,5.19,6.351063829787234,188.0
St. Louis,MOSPD0000,2017,998.0,190.0,1188.0,151.0,285.0,436.0,5.23,5.881188118811881,202.0
St. Louis,MOSPD0000,2018,1002.0,187.0,1189.0,146.0,273.0,419.0,5.24,6.7942857142857145,175.0
St. Louis,MOSPD0000,2019,1004.0,197.0,1201.0,141.0,267.0,408.0,5.35,6.190721649484536,194.0
St. Louis,MOSPD0000,2020,1056.0,206.0,1262.0,129.0,268.0,397.0,5.56,8.413333333333334,150.0
St. Louis,MOSPD0000,2021,944.0,187.0,1131.0,135.0,245.0,380.0,5.11,5.571428571428571,203.0
St. Louis,MOSPD0000,2022,845.0,165.0,1010.0,121.0,226.0,347.0,4.74,5.024875621890548,201.0
St. Louis,MOSPD0000,2023,779.0,147.0,926.0,134.0,239.0,373.0,4.64,5.7875,160.0
St. Louis,MOSPD0000,2024,721.0,139.0,860.0,124.0,240.0,364.0,4.41,5.695364238410596,151.0
St. Louis,MOSPD0000,2025,,,,,,,,,141.0
Miami,FL0130600,2007,860.0,201.0,1061.0,59.0,261.0,320.0,3.37,inf,0.0
Miami,FL0130600,2008,865.0,208.0,1073.0,104.0,312.0,416.0,3.48,inf,0.0
Miami,FL0130600,2009,903.0,221.0,1124.0,78.0,306.0,384.0,3.6,inf,0.0
Miami,FL0130600,2010,890.0,208.0,1098.0,81.0,274.0,355.0,3.64,inf,0.0
Miami,FL0130600,2011,851.0,210.0,1061.0,76.0,267.0,343.0,3.47,inf,0.0
Miami,FL0130600,2012,849.0,205.0,1054.0,70.0,256.0,326.0,3.33,inf,0.0
Miami,FL0130600,2013,862.0,204.0,1066.0,96.0,266.0,362.0,3.41,inf,0.0
Miami,FL0130600,2014,919.0,229.0,1148.0,74.0,223.0,297.0,3.42,inf,0.0
Miami,FL0130600,2015,906.0,227.0,1133.0,76.0,250.0,326.0,3.33,inf,0.0
Miami,FL0130600,2016,966.0,235.0,1201.0,91.0,267.0,358.0,3.47,inf,0.0
Miami,FL0130600,2017,968.0,249.0,1217.0,140.0,309.0,449.0,3.6,inf,0.0
Miami,FL0130600,2018,1025.0,284.0,1309.0,109.0,323.0,432.0,3.68,inf,0.0
Miami,FL0130600,2019,1019.0,279.0,1298.0,142.0,320.0,462.0,3.66,inf,0.0
Miami,FL0130600,2020,1037.0,280.0,1317.0,106.0,314.0,420.0,3.65,inf,0.0
Miami,FL0130600,2021,1004.0,271.0,1275.0,113.0,308.0,421.0,3.54,inf,0.0
Miami,FL0130600,2022,998.0,271.0,1269.0,123.0,296.0,419.0,3.85,47.0,27.0
Miami,FL0130600,2023,1014.0,290.0,1304.0,91.0,262.0,353.0,3.66,40.75,32.0
Miami,FL0130600,2024,1032.0,302.0,1334.0,91.0,247.0,338.0,3.63,47.642857142857146,28.0
Miami,FL0130600,2025,,,,,,,,,27.0
New Orleans,LANPD0000,2007,1156.0,260.0,1416.0,43.0,207.0,250.0,7.55,6.77511961722488,209.0
New Orleans,LANPD0000,2008,1171.0,277.0,1448.0,44.0,233.0,277.0,6.13,15.404255319148936,94.0
New Orleans,LANPD0000,2009,,,,,,,,,162.0
