city,ori,year,homicides,rtcc_year,is_treatment,total_sworn,total_civilians,le_rate_per_1k,est_population,officers_per_10k_pe,post_rtcc,years_since_rtcc,rtcc_active,lemas_ft_sworn_2020,lemas_budget_2020,pop_served_2020,has_bwc,lemas_officers_per_10k,budget_per_capita,tech_score,data_driven_score,bwc_coverage,has_cad,has_rms,has_gis,has_lpr,has_gunshot_detection,has_facerec,has_infrared,has_trace,has_ballistics,has_early_intervention,has_predictive_policing,has_intel_analysis,has_social_network_analysis,has_targeted_policing,has_data_driven_patrol,has_hotspot_analysis,has_data_budget,year_centered,year_sq,covid_year,post_covid,decade,ferguson_era,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025,state,region,homicides_per_sworn,log_homicides,log_population
Chicago,ILCPD0000,2007,443.0,2016,1,13671.0,1065.0,5.22,2822988.5057471264,48.427402280130295,0,-9,0,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,81.0,0,0,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IL,Midwest,0.0324043595932996,6.095824562432225,14.853306989817142
Chicago,ILCPD0000,2008,510.0,2016,1,13359.0,948.0,5.06,2827470.3557312256,47.24717970224365,0,-8,0,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8,64.0,0,0,2000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IL,Midwest,0.0381765102178306,6.236369590203704,14.854893356322062
Chicago,ILCPD0000,2009,458.0,2016,1,13088.0,872.0,4.9,2848979.591836734,45.939255014326655,0,-7,0,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-7,49.0,0,0,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IL,Midwest,0.0349938875305623,6.129050210060545,14.862471801184723
Chicago,ILCPD0000,2010,432.0,2016,1,12515.0,803.0,4.94,2695951.4170040484,46.42145967863043,0,-6,0,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6,36.0,0,0,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IL,Midwest,0.0345185777067518,6.07073772800249,14.80726210137937
Chicago,ILCPD0000,2011,431.0,2016,1,12092.0,707.0,4.73,2705919.6617336147,44.68720993827643,0,-5,0,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,25.0,0,0,2010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IL,Midwest,0.035643400595435,6.068425588244111,14.810952767894142
Chicago,ILCPD0000,2012,500.0,2016,1,11944.0,822.0,4.71,2710403.397027601,44.0672411091963,0,-4,0,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-4,16.0,0,0,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IL,Midwest,0.0418620227729403,6.2166061010848646,14.812608405718516
Chicago,ILCPD0000,2013,414.0,2016,1,,,,,,0,-3,0,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3,9.0,0,0,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,IL,Midwest,,6.028278520230698,
Chicago,ILCPD0000,2014,415.0,2016,1,12034.0,868.0,4.74,2721940.928270042,44.21109905441018,0,-2,0,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,4.0,0,0,2010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,IL,Midwest,0.0344856240651487,6.030685260261263,14.816856127752173
Chicago,ILCPD0000,2015,478.0,2016,1,,,,,,0,-1,0,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1.0,0,0,2010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,IL,Midwest,,6.171700597410915,
Chicago,ILCPD0000,2016,765.0,2016,1,11954.0,1181.0,4.82,2725103.7344398336,43.86622002283975,1,0,0,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0,0,2010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IL,Midwest,0.0639953153756064,6.641182169740591,14.818017419997709
Chicago,ILCPD0000,2017,519.0,2016,1,12383.0,1183.0,5.01,2707784.431137725,45.731114551083586,1,1,1,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0,0,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,IL,Midwest,0.0419122991197609,6.253828811575473,14.811641674696938
Chicago,ILCPD0000,2018,566.0,2016,1,13138.0,948.0,5.18,2719305.0193050196,48.31381513559562,1,2,1,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4.0,0,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,IL,Midwest,0.0430811386816867,6.340359303727752,14.815887265757054
Chicago,ILCPD0000,2019,491.0,2016,1,13160.0,855.0,5.18,2705598.455598456,48.63988583660364,1,3,1,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9.0,0,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,IL,Midwest,0.0373100303951367,6.198478716492308,14.810834055913562
Chicago,ILCPD0000,2020,718.0,2016,1,12727.0,835.0,5.03,2696222.664015904,47.203074767733376,1,4,1,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,16.0,1,1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,IL,Midwest,0.0564154946177418,6.577861357721047,14.807362709003456
Chicago,ILCPD0000,2021,370.0,2016,1,12070.0,795.0,4.73,2719873.150105708,44.37706956859698,1,5,1,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,25.0,0,1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,IL,Midwest,0.0306545153272576,5.916202062607435,14.816096168858277
Chicago,ILCPD0000,2022,604.0,2016,1,11678.0,585.0,4.62,2654329.0043290043,43.99605316806654,1,6,1,12675.0,1033570821.0,2677643.0,1,47.33640742996733,386.0002326673123,10,7,0.6246942800788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,36.0,0,1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,IL,Midwest,0.0517211851344408,6.405228458030842,14.791702828393491
