search_group,city,title,url,source,published_date,text_snippet,thesis_relevance,found_at,article_type
Chula_Vista_DFR,Chula Vista,City of Chula Vista,https://www.chulavistaca.gov/Home/Components/News/News/1826/8221?arch=1,,,"CHULA VISTA LAUNCHES DRONE AS FIRST RESPONDER | News | City of Chula Vista

[Home](https://www.chulavistaca.gov/businesses/smartcity)| Projects | -- [News](https://www.chulavistaca.gov/businesses/smart-city/news)| [Work With Us](https://www.chulavistaca.gov/businesses/smart-city/work-with-us)| [About](https://www.chulavistaca.gov/businesses/smart-city/about)

## CHULA VISTA LAUNCHES DRONE AS FIRST RESPONDER

### Regional Consortium Announces FAA Approval for San Diego Regional Program

Today the",Flagship DFR program — operational metrics and outcomes,2026-04-15T20:44:28.550721,news
Chula_Vista_DFR,Chula Vista,Drone Program | City of Chula Vista,https://www.chulavistaca.gov/departments/police-department/programs/uas-drone-program,,,"Drone Program | City of Chula Vista 

 

 

 

 

 

 

 

### Drone as First Responder – Making Communities Safer

Disclaimer: Portions of this video show real incidents involving law enforcement and emergency responses. Some scenes may be sensitive for certain viewers.

### About the Drone Program

 

Program Mission

Operational Response and Support

DFR Program Overview

Implementing a UAS Program at Your Agency

 

### Drone-Related Activity Dashboard

### Drone Flight History Maps

To achi",Flagship DFR program — operational metrics and outcomes,2026-04-15T20:44:28.550872,news
Chula_Vista_DFR,Chula Vista,"CVPD DRONE AS A FIRST RESPONDER SURPASSES 1,000 MISSIONS | Smart City | City of Chula Vista",https://www.chulavistaca.gov/businesses/smartcity/-item-1989/-selectview-1,,,"CVPD DRONE AS A FIRST RESPONDER SURPASSES 1,000 MISSIONS | Smart City | City of Chula Vista

[Home](https://www.chulavistaca.gov/businesses/smartcity)| Projects | -- [News](https://www.chulavistaca.gov/businesses/smart-city/news)| [Work With Us](https://www.chulavistaca.gov/businesses/smart-city/work-with-us)| [About](https://www.chulavistaca.gov/businesses/smart-city/about)

# Smart City

The City of Chula Vista is leading the international smart city movement with state-of-the-art technology a",Flagship DFR program — operational metrics and outcomes,2026-04-15T20:44:29.486148,news
Chula_Vista_DFR,Chula Vista,"Chula Vista improves 911 response times, but still not meeting the benchmark – San Diego Union-Tribune",https://www.sandiegouniontribune.com/2020/02/07/chula-vista-improves-911-response-times-but-still-not-meeting-the-benchmark/,Gustavo Solis,2020-02-07T11:48:27.000Z,"Chula Vista improves 911 response times, but still not meeting the benchmark – San Diego Union-Tribune

### Aztecs lose in Mountain West final, now pray for a Selection Sunday miracle

March 14, 2026 at 7:36 pm

Gustavo Solis/The San Diego Union-Tribune

Chula Vista Police Department

Getting your [Trinity Audio](https://trinityaudio.ai/) player ready...

CHULA VISTACHULA VISTA — Numbers show that Chula Vista’s first responders are getting to 911 calls faster. But despite the improvement, the Po",Flagship DFR program — operational metrics and outcomes,2026-04-15T20:44:30.535043,news
Chula_Vista_DFR,Chula Vista,"Celebrating Chula Vista’s Close Proximity, Low Altitude BVLOS Drone Waiver",https://skydio.com/blog/skydio-chula-vistas-close-proximity-low-altitude-bvlos-waiver,Skydio,2020-07-06T07:00:00.000Z,"Chula Vista’s close proximity, low altitude BVLOS waiver | Skydio
[Skydio](https://skydio.com/)
[Contact]()[Careers](https:///www.skydio.com/careers)US
[USEnglish](https://skydio.com/en-us)[JP日本語](https://skydio.com/ja-jp)
[DFR](https://skydio.com/solutions/dfr)[Utilities](https://skydio.com/solutions/utilities)[National Security](https://skydio.com/solutions/national-security)[More Solutions](https://skydio.com/solutions)[Products](https://skydio.com/products)[Resources](https://skydio.com/reso",Flagship DFR program — operational metrics and outcomes,2026-04-15T20:44:29.486071,news
Chula_Vista_DFR,Chula Vista,"Celebrating Chula Vista’s Close Proximity, Low Altitude BVLOS Waiver",https://medium.com/skydio/celebrating-chula-vistas-close-proximity-low-altitude-bvlos-waiver-d3f969c4b900,Skydio,2020-07-06T16:26:24.000Z,"Celebrating Chula Vista’s Close Proximity, Low Altitude BVLOS Waiver | by Skydio | Skydio | Medium
[Open in app](https://rsci.app.link/?$canonical_url=https://medium.com/p/d3f969c4b900&~feature=LoOpenInAppButton&~channel=ShowPostUnderCollection&source=post_page---top_nav_layout_nav-----------------------------------------)
Sign up
[Sign in](https://medium.com/m/signin?operation=login&redirect=https://medium.com/skydio/celebrating-chula-vistas-close-proximity-low-altitude-bvlos-waiver-d3f969c4b90",Flagship DFR program — operational metrics and outcomes,2026-04-15T20:44:29.486133,news
Chula_Vista_DFR,Chula Vista,Chula Vista Police Department presents update to city council - Chula Vista Today,https://www.chulavistatoday.com/local-news/chula-vista-police-department-presents-update-to-city-council/,Sarah Berjan,2021-10-15T03:00:00.000Z,"Chula Vista Police Department presents update to city council - Chula Vista Today

[Home](https://www.chulavistatoday.com/)» Chula Vista Police Department presents update to city council

Police Chief of the Chula Vista Police Department, Roxanne Kennedy presented police safety updates and trends for the 2021 fiscal year, emphasizing the importance of being “open and and transparent” with communities.

According to the data presented during the Oct.12 city council meeting, Chula Vista, a city of",Flagship DFR program — operational metrics and outcomes,2026-04-15T20:44:30.535109,news
Chula_Vista_DFR,Chula Vista,"Drones Integral Part of Policing in Chula Vista, Calif.",https://www.govtech.com/public-safety/drones-integral-part-of-policing-in-chula-vista-calif,,2023-02-27T17:44:07.000Z,"Drones Integral Part of Policing in Chula Vista, Calif.

CONTINUE TO SITE

The 2026 GovTech 100 is now live.

[Read more.](https://www.govtech.com/100)

✕

## IE 11 Not Supported

For optimal browsing, we recommend Chrome, Firefox or Safari browsers.

[Justice & Public Safety](https://www.govtech.com/public-safety)

# Drones Integral Part of Policing in Chula Vista, Calif.

## The Chula Vista Police Department has been leveraging a fleet of 29 unmanned aerial systems — also known as drones — to ",Flagship DFR program — operational metrics and outcomes,2026-04-15T20:44:31.570518,news
Cincinnati_DFR,Cincinnati,"Cincinnati police take to sky with new drone unit, expected to cover city by year's end",https://www.cincinnati.com/story/news/crime/2025/06/25/cincinnati-polices-new-drone-unit-will-help-task-force-in-crime-wave/84350945007/,,2025-06-25T17:23:40.000Z,"Cincinnati police: 90% of city to be covered by drones by end of 2025
[](https://www.cincinnati.com/)
[](https://subscribe.cincinnati.com/rr/nanobar?gps-source=CPTILELEFT&itm_campaign=2025GMFRANTPCS&itm_medium=ONSITE&onSuccessRedirectURL=https://www.cincinnati.com/story/news/crime/2025/06/25/cincinnati-polices-new-drone-unit-will-help-task-force-in-crime-wave/84350945007/)
[](https://subscribe.cincinnati.com/rr/masthead?gps-source=CPMASTHEAD&itm_campaign=2025GMFRANTPCS&itm_medium=ONSITE&onSucces",Newest DFR program — Axon ecosystem integration,2026-04-15T20:44:37.612706,news
Cincinnati_DFR,Cincinnati,Cincinnati police: 90% of city to be covered by drones by end of 2025,https://eu.cincinnati.com/story/news/crime/2025/06/25/cincinnati-polices-new-drone-unit-will-help-task-force-in-crime-wave/84350945007/,David Ferrara,2025-06-25T17:23:40.000Z,"Cincinnati police: 90% of city to be covered by drones by end of 2025Skip to main content

- [USA TODAY](https://www.usatoday.com/)
- [National Politics](https://eu.cincinnati.com/section/global/washington/)
- [Northern Kentucky](https://eu.cincinnati.com/news/northern-kentucky/)
- [Editorials & Letters](https://eu.cincinnati.com/news/editorials-letters/)
- [Local Politics](https://eu.cincinnati.com/news/local-politics/)
- [Voter Guide](https://eu.cincinnati.com/news/elections/voter-guide/)
- [E",Newest DFR program — Axon ecosystem integration,2026-04-15T20:44:37.612720,news
Cincinnati_DFR,Cincinnati,Cincinnati police launch 'Drone as First Responder' program,https://www.cincinnati.com/story/news/crime/2025/07/25/cincinnati-police-drones-are-starting-as-first-responders-to-calls/85362143007/,"Cameron Knight 
, 
 David Ferrara",2025-07-25T04:20:29.000Z,"Cincinnati police launch 'Drone as First Responder' programSkip to main content

- [USA TODAY](https://www.usatoday.com/)
- [National Politics](https://www.cincinnati.com/section/global/washington/)
- [Northern Kentucky](https://www.cincinnati.com/news/northern-kentucky/)
- [Editorials & Letters](https://www.cincinnati.com/news/editorials-letters/)
- [Local Politics](https://www.cincinnati.com/news/local-politics/)
- [Voter Guide](https://www.cincinnati.com/news/elections/voter-guide/)
- [Electi",Newest DFR program — Axon ecosystem integration,2026-04-15T20:44:35.698684,news
Cincinnati_DFR,Cincinnati,Search location by ZIP code,https://wlwt.com/article/cincinnati-police-expansion-drone-first-responder-program/65513315,CINCINNATI —,2025-07-25T21:33:00.000Z,"Cincinnati police announce expansion of drone first responder program
[Skip to content](#)
[
NOWCASTWLWT News 5 at Noon
**Watch on Demand
](https://wlwt.com/nowcast)
**Menu[![WLWT News 5 and Weather](https://kubrick.htvapps.com/htv-prod-media.s3.amazonaws.com/htv_default_image/wlwt/logo.png)](https://wlwt.com/)[![WLWT News 5 and Weather](https://kubrick.htvapps.com/htv-prod-media.s3.amazonaws.com/htv_default_image/wlwt/logo.png)](https://wlwt.com/)
* [**
SUBSCRIBE TO EMAIL
](https://wlwt.com/sub",Newest DFR program — Axon ecosystem integration,2026-04-15T20:44:36.630376,news
Cincinnati_DFR,Cincinnati,Ohio drones first responders: Cincinnati among early adopters of technology,https://thecincinnatiexchange.com/ohio-drones-first-responders-cincinnati/,Nina Oliverio,2025-12-05T17:03:15.000Z,"Ohio Drones First Responders Program Explained - The Cincinnati Exchange
[Skip to content](#content_skip_link_anchor)[Skip to sidebar](#sidebar_skip_link_anchor)[Skip to footer](#footer_skip_link_anchor)
Thursday, December 11, 2025
[![The Cincinnati Exchange](https://thecincinnatiexchange.com/wp-content/uploads/2025/11/The-Cincinnati-Exchange-1.png)](https://thecincinnatiexchange.com/)
[Menu](#)
[![The Cincinnati Exchange](https://thecincinnatiexchange.com/wp-content/uploads/2025/11/The-Cincinna",Newest DFR program — Axon ecosystem integration,2026-04-15T20:44:36.630338,news
Cincinnati_DFR,Cincinnati,"Cincinnati drone cops were used during Opening Day, street takeover",https://eu.cincinnati.com/story/news/crime/2026/04/01/cincinnati-drone-cops-were-used-during-opening-day-street-takeover/89392044007/,David Ferrara,2026-04-01T04:15:26.000Z,"Cincinnati drone cops were used during Opening Day, street takeoverSkip to main content

# Cincinnati drone cops now cover nearly all the city. How they work

---

Cincinnati Enquirer

Cincinnati's [drones](https://www.cincinnati.com/story/news/crime/2025/11/30/cincinnati-police-drones-are-now-first-responders-heres-how-it-works/86280621007/) now blanket nearly all of the city and respond before officers do more than half the time.

Last year, Cincinnati joined a growing number of police departm",Newest DFR program — Axon ecosystem integration,2026-04-15T20:44:37.612664,news
DFR_Academic,Academic,Combinations of First Responder and&nbsp;Drone Delivery to Achieve 5-Minute AED Deployment in OHCA.,https://escholarship.org/uc/item/3202p84h,,,"Combinations of First Responder and Drone Delivery to Achieve 5-Minute AED Deployment in OHCA.

Skip to main content

# UC San Diego

[UC San Diego](https://escholarship.org/uc/ucsd)

Deposit

ManageSubmissions

[Download PDF](https://escholarship.org/content/qt3202p84h/qt3202p84h.pdf)

Main

- [PDF](https://escholarship.org/content/qt3202p84h/qt3202p84h.pdf)

Share

[Email](https://escholarship.org/uc/item/3202p84h) [Facebook](https://escholarship.org/uc/item/3202p84h)

## Combinations of First",Academic DFR literature — peer-reviewed program evaluations,2026-04-15T20:44:43.539844,academic
